InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
919783,Beverages and Catering,167607,33521.4,201128,EUR,2017-08-06
208335,Concierge Services,8810,1762,10572,USD,2017-08-22
265614,Concierge Services,211119,42223.8,253343,EUR,2017-02-07
402301,Waste management services,132447,26489.4,158936,EUR,2017-02-28
831486,IT Support,247511,49502.2,297013,EUR,2017-01-06
629576,Professional Services,158695,31739,190434,USD,2017-01-04
566247,IT Support,253970,50794,304764,RON,2017-07-24
755157,Professional Services,2017-06-20,286674,57334.8,344009,USD
303050,Various paper supplies,262064,52412.8,314477,EUR,2017-11-14
666801,Various paper supplies,63806,12761.2,76567.2,CAD,2017-11-27
370818,Waste management services,229631,45926.2,275557,USD,2017-11-11
